IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.191.123,443,443,true,FRA,Europe,Frankfurt,190,9.93
158.179.183.2,2095,2095,false,NRT,Asia Pacific,Tokyo,99,9.92
151.145.70.28,2052,2052,false,NRT,Asia Pacific,Tokyo,101,9.92
168.138.206.236,2087,2087,true,NRT,Asia Pacific,Tokyo,109,9.92
141.147.191.211,8880,8880,false,NRT,Asia Pacific,Tokyo,115,9.91
141.147.35.232,443,443,true,FRA,Europe,Frankfurt,177,9.91
151.145.65.8,8080,8080,false,NRT,Asia Pacific,Tokyo,99,9.91
158.178.147.44,443,443,true,FRA,Europe,Frankfurt,194,9.91
151.145.70.28,2096,2096,true,NRT,Asia Pacific,Tokyo,101,9.89
151.145.70.28,8880,8880,false,NRT,Asia Pacific,Tokyo,86,9.89
168.138.212.74,2086,2086,false,NRT,Asia Pacific,Tokyo,77,9.89
138.3.212.162,2095,2095,false,NRT,Asia Pacific,Tokyo,99,9.88
138.2.170.102,443,443,true,FRA,Europe,Frankfurt,181,9.87
138.3.210.114,80,80,false,NRT,Asia Pacific,Tokyo,103,9.86
138.3.216.67,2082,2082,false,NRT,Asia Pacific,Tokyo,107,9.85
141.147.182.70,2053,2053,true,NRT,Asia Pacific,Tokyo,116,9.84
141.147.174.7,2082,2082,false,NRT,Asia Pacific,Tokyo,102,9.84
168.138.211.217,2095,2095,false,NRT,Asia Pacific,Tokyo,100,9.84
152.70.98.174,2095,2095,false,NRT,Asia Pacific,Tokyo,102,9.83
193.122.58.43,443,443,true,FRA,Europe,Frankfurt,192,9.83
150.230.200.210,2082,2082,false,NRT,Asia Pacific,Tokyo,102,9.82
141.147.186.210,2083,2083,true,NRT,Asia Pacific,Tokyo,135,9.82
168.138.207.64,8443,8443,true,NRT,Asia Pacific,Tokyo,104,9.81
84.235.173.50,443,443,true,AMS,Europe,Amsterdam,175,9.81
150.230.212.87,8080,8080,false,NRT,Asia Pacific,Tokyo,99,9.81
151.145.70.28,2083,2083,true,NRT,Asia Pacific,Tokyo,77,9.79
151.145.66.219,8880,8880,false,NRT,Asia Pacific,Tokyo,79,9.79
143.47.177.111,443,443,true,FRA,Europe,Frankfurt,192,9.78
152.70.106.13,2087,2087,true,NRT,Asia Pacific,Tokyo,98,9.78
168.138.209.84,2052,2052,false,NRT,Asia Pacific,Tokyo,101,9.78
151.145.71.40,2095,2095,false,NRT,Asia Pacific,Tokyo,101,9.77
168.138.206.109,2082,2082,false,NRT,Asia Pacific,Tokyo,108,9.77
140.238.32.238,8443,8443,true,NRT,Asia Pacific,Tokyo,97,9.77
150.230.212.9,2096,2096,true,NRT,Asia Pacific,Tokyo,104,9.76
144.24.177.69,443,443,true,FRA,Europe,Frankfurt,168,9.76
168.138.197.222,2086,2086,false,NRT,Asia Pacific,Tokyo,100,9.75
158.179.188.159,8443,8443,true,NRT,Asia Pacific,Tokyo,101,9.74
150.230.208.83,2052,2052,false,NRT,Asia Pacific,Tokyo,98,9.74
132.145.12.49,443,443,true,FRA,Europe,Frankfurt,183,9.73
152.70.163.139,443,443,true,FRA,Europe,Frankfurt,179,9.71
151.145.65.203,8880,8880,false,NRT,Asia Pacific,Tokyo,106,9.71
141.147.119.96,443,443,true,FRA,Europe,Frankfurt,199,9.71
152.70.98.174,2082,2082,false,NRT,Asia Pacific,Tokyo,98,9.71
141.147.191.132,8080,8080,false,NRT,Asia Pacific,Tokyo,82,9.69
141.147.167.40,2095,2095,false,NRT,Asia Pacific,Tokyo,99,9.69
141.147.103.212,443,443,true,FRA,Europe,Frankfurt,183,9.69
141.148.238.135,443,443,true,FRA,Europe,Frankfurt,175,9.69
158.179.182.19,2052,2052,false,NRT,Asia Pacific,Tokyo,99,9.68
158.178.150.53,443,443,true,FRA,Europe,Frankfurt,194,9.68
141.147.93.118,443,443,true,FRA,Europe,Frankfurt,195,9.67
141.144.193.234,443,443,true,FRA,Europe,Frankfurt,192,9.67
150.230.202.232,2095,2095,false,NRT,Asia Pacific,Tokyo,99,9.67
168.138.200.155,80,80,false,NRT,Asia Pacific,Tokyo,84,9.66
140.83.34.230,2095,2095,false,NRT,Asia Pacific,Tokyo,100,9.66
141.144.202.72,443,443,true,FRA,Europe,Frankfurt,173,9.66
141.148.239.72,443,443,true,FRA,Europe,Frankfurt,180,9.65
168.138.195.31,8080,8080,false,NRT,Asia Pacific,Tokyo,110,9.64
152.70.111.251,2087,2087,true,NRT,Asia Pacific,Tokyo,119,9.64
140.83.34.230,8080,8080,false,NRT,Asia Pacific,Tokyo,103,9.63
141.147.178.115,8880,8880,false,NRT,Asia Pacific,Tokyo,100,9.62
168.138.208.164,80,80,false,NRT,Asia Pacific,Tokyo,100,9.62
152.70.106.21,8080,8080,false,NRT,Asia Pacific,Tokyo,101,9.61
168.138.200.159,80,80,false,NRT,Asia Pacific,Tokyo,77,9.60
168.138.214.62,2087,2087,true,NRT,Asia Pacific,Tokyo,125,9.60
141.147.174.7,8080,8080,false,NRT,Asia Pacific,Tokyo,76,9.59
158.179.191.14,2082,2082,false,NRT,Asia Pacific,Tokyo,99,9.58
150.230.202.232,2053,2053,true,NRT,Asia Pacific,Tokyo,98,9.57
168.138.205.195,2095,2095,false,NRT,Asia Pacific,Tokyo,98,9.57
158.178.148.232,443,443,true,FRA,Europe,Frankfurt,187,9.57
168.138.200.159,2087,2087,true,NRT,Asia Pacific,Tokyo,107,9.56
158.178.153.53,443,443,true,FRA,Europe,Frankfurt,170,9.56
151.145.65.203,2086,2086,false,NRT,Asia Pacific,Tokyo,102,9.56
150.230.222.185,2096,2096,true,NRT,Asia Pacific,Tokyo,101,9.56
168.138.212.175,8880,8880,false,NRT,Asia Pacific,Tokyo,99,9.55
151.145.71.40,2096,2096,true,NRT,Asia Pacific,Tokyo,85,9.55
141.144.198.172,443,443,true,FRA,Europe,Frankfurt,184,9.53
140.238.34.208,2087,2087,true,NRT,Asia Pacific,Tokyo,113,9.53
168.138.207.64,8080,8080,false,NRT,Asia Pacific,Tokyo,79,9.53
158.101.210.187,443,443,true,FRA,Europe,Frankfurt,187,9.53
168.138.212.40,2052,2052,false,NRT,Asia Pacific,Tokyo,97,9.53
150.230.200.210,8080,8080,false,NRT,Asia Pacific,Tokyo,98,9.53
168.138.198.53,2087,2087,true,NRT,Asia Pacific,Tokyo,77,9.51
138.3.223.70,2095,2095,false,NRT,Asia Pacific,Tokyo,102,9.50
141.147.100.79,443,443,true,FRA,Europe,Frankfurt,174,9.50
141.147.191.132,8443,8443,true,NRT,Asia Pacific,Tokyo,103,9.50
84.235.165.112,443,443,true,FRA,Europe,Frankfurt,194,9.50
140.238.35.78,2053,2053,true,NRT,Asia Pacific,Tokyo,104,9.48
138.3.212.226,2087,2087,true,NRT,Asia Pacific,Tokyo,104,9.48
158.178.148.75,443,443,true,FRA,Europe,Frankfurt,174,9.48
150.230.201.63,2096,2096,true,NRT,Asia Pacific,Tokyo,165,9.48
141.147.83.71,443,443,true,FRA,Europe,Frankfurt,197,9.47
141.147.179.64,8080,8080,false,NRT,Asia Pacific,Tokyo,100,9.46
152.70.107.26,2053,2053,true,NRT,Asia Pacific,Tokyo,113,9.46
158.179.176.239,2087,2087,true,NRT,Asia Pacific,Tokyo,115,9.46
168.138.194.121,2053,2053,true,NRT,Asia Pacific,Tokyo,82,9.44
152.70.106.195,8880,8880,false,NRT,Asia Pacific,Tokyo,94,9.44
141.147.186.210,80,80,false,NRT,Asia Pacific,Tokyo,100,9.44
168.138.192.185,80,80,false,NRT,Asia Pacific,Tokyo,98,9.42
158.178.153.92,443,443,true,FRA,Europe,Frankfurt,182,9.42
140.238.33.94,2096,2096,true,NRT,Asia Pacific,Tokyo,100,9.42
158.101.218.51,443,443,true,FRA,Europe,Frankfurt,170,9.42
168.138.205.195,2095,2095,false,NRT,Asia Pacific,Tokyo,98,9.40
144.21.60.199,443,443,true,FRA,Europe,Frankfurt,183,9.40
168.138.198.53,8880,8880,false,NRT,Asia Pacific,Tokyo,77,9.39
141.147.186.210,2052,2052,false,NRT,Asia Pacific,Tokyo,78,9.39
158.178.158.158,443,443,true,FRA,Europe,Frankfurt,202,9.39
168.138.206.236,2052,2052,false,NRT,Asia Pacific,Tokyo,106,9.39
168.138.214.62,8880,8880,false,NRT,Asia Pacific,Tokyo,102,9.39
141.147.189.242,2087,2087,true,NRT,Asia Pacific,Tokyo,112,9.38
141.147.93.141,443,443,true,FRA,Europe,Frankfurt,187,9.37
150.230.207.53,2096,2096,true,NRT,Asia Pacific,Tokyo,126,9.37
132.145.66.113,443,443,true,FRA,Europe,Frankfurt,184,9.37
158.179.178.145,2087,2087,true,NRT,Asia Pacific,Tokyo,86,9.36
150.230.201.39,2082,2082,false,NRT,Asia Pacific,Tokyo,100,9.36
84.235.163.0,443,443,true,FRA,Europe,Frankfurt,194,9.36
168.138.200.155,8880,8880,false,NRT,Asia Pacific,Tokyo,97,9.36
130.162.44.186,443,443,true,FRA,Europe,Frankfurt,166,9.36
158.179.188.175,8443,8443,true,NRT,Asia Pacific,Tokyo,125,9.34
140.238.46.138,2087,2087,true,NRT,Asia Pacific,Tokyo,100,9.34
158.101.69.144,2095,2095,false,NRT,Asia Pacific,Tokyo,102,9.33
140.238.38.245,2087,2087,true,NRT,Asia Pacific,Tokyo,100,9.32
138.3.217.39,2083,2083,true,NRT,Asia Pacific,Tokyo,113,9.32
150.230.199.118,2053,2053,true,NRT,Asia Pacific,Tokyo,93,9.31
168.138.206.236,2083,2083,true,NRT,Asia Pacific,Tokyo,103,9.30
141.147.175.230,8443,8443,true,NRT,Asia Pacific,Tokyo,102,9.29
168.138.212.184,8080,8080,false,NRT,Asia Pacific,Tokyo,100,9.29
143.47.224.28,443,443,true,FRA,Europe,Frankfurt,198,9.29
141.147.178.202,8080,8080,false,NRT,Asia Pacific,Tokyo,99,9.28
141.147.100.228,443,443,true,FRA,Europe,Frankfurt,197,9.27
141.147.191.211,80,80,false,NRT,Asia Pacific,Tokyo,108,9.26
141.147.97.49,443,443,true,FRA,Europe,Frankfurt,175,9.26
150.230.221.219,2052,2052,false,NRT,Asia Pacific,Tokyo,101,9.26
168.138.195.31,2096,2096,true,NRT,Asia Pacific,Tokyo,106,9.26
158.101.204.156,443,443,true,FRA,Europe,Frankfurt,183,9.25
168.138.202.145,2083,2083,true,NRT,Asia Pacific,Tokyo,81,9.25
150.230.212.9,2082,2082,false,NRT,Asia Pacific,Tokyo,100,9.21
141.144.204.112,443,443,true,FRA,Europe,Frankfurt,196,9.20
151.145.65.203,2082,2082,false,NRT,Asia Pacific,Tokyo,75,9.20
151.145.70.28,2086,2086,false,NRT,Asia Pacific,Tokyo,85,9.20
150.230.120.128,443,443,true,FRA,Europe,Frankfurt,172,9.19
152.70.106.185,80,80,false,NRT,Asia Pacific,Tokyo,100,9.16
144.24.189.178,443,443,true,FRA,Europe,Frankfurt,170,9.16
151.145.68.166,2053,2053,true,NRT,Asia Pacific,Tokyo,98,9.15
141.147.95.142,443,443,true,FRA,Europe,Frankfurt,204,9.15
151.145.71.40,2087,2087,true,NRT,Asia Pacific,Tokyo,86,9.14
150.230.214.218,2053,2053,true,NRT,Asia Pacific,Tokyo,108,9.13
168.138.196.164,2095,2095,false,HKG,Asia Pacific,Hong Kong,134,9.11
141.147.174.190,2086,2086,false,NRT,Asia Pacific,Tokyo,102,9.10
150.230.216.34,2096,2096,true,NRT,Asia Pacific,Tokyo,102,9.09
168.138.205.38,2087,2087,true,NRT,Asia Pacific,Tokyo,104,9.08
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,191,9.08
89.168.74.157,443,443,true,FRA,Europe,Frankfurt,168,9.06
141.147.169.195,80,80,false,NRT,Asia Pacific,Tokyo,100,9.06
144.21.39.130,443,0,true,FRA,Europe,Frankfurt,175,9.05
89.168.113.236,443,443,true,FRA,Europe,Frankfurt,191,9.04
151.145.65.8,8443,8443,true,NRT,Asia Pacific,Tokyo,110,9.04
158.101.193.1,443,443,true,FRA,Europe,Frankfurt,179,9.03
168.138.200.155,2082,2082,false,NRT,Asia Pacific,Tokyo,100,9.00
168.138.200.159,2053,2053,true,NRT,Asia Pacific,Tokyo,127,8.98
158.179.186.251,2082,2082,false,NRT,Asia Pacific,Tokyo,100,8.98
140.83.37.145,2083,2083,true,NRT,Asia Pacific,Tokyo,101,8.97
152.70.104.69,2087,2087,true,NRT,Asia Pacific,Tokyo,104,8.95
150.230.116.181,443,443,true,FRA,Europe,Frankfurt,205,8.95
168.138.212.175,2052,2052,false,NRT,Asia Pacific,Tokyo,77,8.95
150.230.204.117,80,80,false,NRT,Asia Pacific,Tokyo,81,8.92
168.138.208.164,2082,2082,false,NRT,Asia Pacific,Tokyo,78,8.92
168.138.207.64,2087,2087,true,NRT,Asia Pacific,Tokyo,100,8.92
141.147.116.119,443,443,true,FRA,Europe,Frankfurt,161,8.92
143.47.247.17,443,443,true,FRA,Europe,Frankfurt,197,8.91
141.147.106.6,443,443,true,FRA,Europe,Frankfurt,217,8.90
138.3.220.4,2053,2053,true,NRT,Asia Pacific,Tokyo,117,8.88
168.138.200.159,80,80,false,NRT,Asia Pacific,Tokyo,99,8.88
168.138.198.53,2095,2095,false,NRT,Asia Pacific,Tokyo,107,8.88
158.179.188.7,8443,8443,true,NRT,Asia Pacific,Tokyo,81,8.87
168.138.196.164,2095,2095,false,HKG,Asia Pacific,Hong Kong,156,8.86
140.238.50.99,2083,2083,true,NRT,Asia Pacific,Tokyo,99,8.86
138.3.220.4,80,80,false,NRT,Asia Pacific,Tokyo,102,8.86
168.138.212.40,8880,8880,false,NRT,Asia Pacific,Tokyo,100,8.86
151.145.69.174,2082,2082,false,NRT,Asia Pacific,Tokyo,100,8.85
150.230.216.34,2095,2095,false,NRT,Asia Pacific,Tokyo,99,8.85
141.147.166.189,2053,2053,true,NRT,Asia Pacific,Tokyo,105,8.85
158.179.178.142,8880,8880,false,NRT,Asia Pacific,Tokyo,81,8.84
138.3.212.162,2087,2087,true,NRT,Asia Pacific,Tokyo,120,8.84
141.145.199.188,443,443,true,CDG,Europe,Paris,182,8.83
168.138.206.109,8443,8443,true,NRT,Asia Pacific,Tokyo,81,8.83
168.138.207.64,8880,8880,false,NRT,Asia Pacific,Tokyo,87,8.81
140.83.37.200,2095,2095,false,NRT,Asia Pacific,Tokyo,99,8.80
141.147.169.195,8880,8880,false,NRT,Asia Pacific,Tokyo,84,8.80
140.238.40.136,2083,2083,true,NRT,Asia Pacific,Tokyo,104,8.80
150.230.201.39,8443,8443,true,NRT,Asia Pacific,Tokyo,77,8.80
141.147.178.202,2083,2083,true,NRT,Asia Pacific,Tokyo,107,8.79
158.179.188.175,2087,2087,true,NRT,Asia Pacific,Tokyo,115,8.78
168.138.206.109,8880,8880,false,NRT,Asia Pacific,Tokyo,106,8.78
141.147.166.189,2083,2083,true,NRT,Asia Pacific,Tokyo,100,8.78
168.138.206.236,80,80,false,NRT,Asia Pacific,Tokyo,109,8.78
168.138.200.155,2053,2053,true,NRT,Asia Pacific,Tokyo,83,8.78
141.147.178.115,2053,2053,true,NRT,Asia Pacific,Tokyo,86,8.77
150.230.219.83,8080,8080,false,NRT,Asia Pacific,Tokyo,101,8.76
150.230.201.162,2082,2082,false,NRT,Asia Pacific,Tokyo,78,8.74
141.144.199.113,443,443,true,FRA,Europe,Frankfurt,175,8.74
168.138.209.244,8080,8080,false,NRT,Asia Pacific,Tokyo,98,8.73
168.138.198.202,2082,2082,false,NRT,Asia Pacific,Tokyo,85,8.73
138.3.223.50,2083,2083,true,NRT,Asia Pacific,Tokyo,117,8.72
141.144.204.68,443,443,true,FRA,Europe,Frankfurt,222,8.71
141.147.168.13,8443,8443,true,NRT,Asia Pacific,Tokyo,112,8.69
150.230.208.83,2082,2082,false,NRT,Asia Pacific,Tokyo,97,8.68
158.179.180.233,2083,2083,true,NRT,Asia Pacific,Tokyo,103,8.68
168.138.198.53,8443,8443,true,NRT,Asia Pacific,Tokyo,100,8.67
150.230.207.53,2086,2086,false,NRT,Asia Pacific,Tokyo,101,8.67
141.147.174.7,2087,2087,true,NRT,Asia Pacific,Tokyo,108,8.66
158.179.183.2,2053,2053,true,NRT,Asia Pacific,Tokyo,101,8.66
152.70.103.145,2053,2053,true,NRT,Asia Pacific,Tokyo,98,8.66
168.138.206.68,2082,2082,false,NRT,Asia Pacific,Tokyo,84,8.65
152.70.104.69,2083,2083,true,NRT,Asia Pacific,Tokyo,104,8.65
150.230.212.213,8880,8880,false,NRT,Asia Pacific,Tokyo,99,8.64
168.138.194.121,2087,2087,true,NRT,Asia Pacific,Tokyo,77,8.63
158.178.149.157,443,443,true,FRA,Europe,Frankfurt,192,8.62
141.147.191.211,2052,2052,false,NRT,Asia Pacific,Tokyo,105,8.62
150.230.222.185,8080,8080,false,NRT,Asia Pacific,Tokyo,98,8.62
168.138.212.74,2096,2096,true,NRT,Asia Pacific,Tokyo,118,8.62
89.168.73.150,443,443,true,FRA,Europe,Frankfurt,224,8.61
168.138.198.53,8080,8080,false,NRT,Asia Pacific,Tokyo,100,8.60
168.138.208.17,2083,2083,true,NRT,Asia Pacific,Tokyo,78,8.59
150.230.212.9,8880,8880,false,NRT,Asia Pacific,Tokyo,100,8.59
150.230.199.118,2082,2082,false,NRT,Asia Pacific,Tokyo,100,8.59
141.147.169.131,8080,8080,false,NRT,Asia Pacific,Tokyo,100,8.58
151.145.71.127,2052,2052,false,NRT,Asia Pacific,Tokyo,99,8.58
152.70.98.174,80,80,false,NRT,Asia Pacific,Tokyo,114,8.57
141.147.178.115,80,80,false,NRT,Asia Pacific,Tokyo,75,8.56
140.238.62.12,2053,2053,true,NRT,Asia Pacific,Tokyo,100,8.56
151.145.68.166,2086,2086,false,NRT,Asia Pacific,Tokyo,79,8.55
141.147.109.143,443,443,true,FRA,Europe,Frankfurt,186,8.55
152.70.98.174,2086,2086,false,NRT,Asia Pacific,Tokyo,110,8.53
141.147.179.64,2086,2086,false,NRT,Asia Pacific,Tokyo,77,8.53
151.145.65.203,2087,2087,true,NRT,Asia Pacific,Tokyo,116,8.53
141.147.167.44,8443,8443,true,NRT,Asia Pacific,Tokyo,76,8.52
158.101.202.123,443,443,true,FRA,Europe,Frankfurt,194,8.52
138.3.212.226,2082,2082,false,NRT,Asia Pacific,Tokyo,101,8.51
168.138.205.38,2052,2052,false,NRT,Asia Pacific,Tokyo,102,8.51
84.235.175.63,443,443,true,FRA,Europe,Frankfurt,174,8.50
150.230.212.9,2095,2095,false,NRT,Asia Pacific,Tokyo,82,8.50
138.3.212.144,2083,2083,true,NRT,Asia Pacific,Tokyo,86,8.49
152.70.106.185,2053,2053,true,NRT,Asia Pacific,Tokyo,128,8.48
138.2.170.153,443,443,true,FRA,Europe,Frankfurt,181,8.48
151.145.71.40,80,80,false,NRT,Asia Pacific,Tokyo,107,8.47
158.179.188.159,2087,2087,true,NRT,Asia Pacific,Tokyo,113,8.47
158.179.180.233,8443,8443,true,NRT,Asia Pacific,Tokyo,140,8.45
158.179.183.2,2087,2087,true,NRT,Asia Pacific,Tokyo,103,8.45
158.179.182.19,2096,2096,true,NRT,Asia Pacific,Tokyo,125,8.45
141.147.179.64,2096,2096,true,NRT,Asia Pacific,Tokyo,108,8.44
168.138.194.121,2052,2052,false,NRT,Asia Pacific,Tokyo,75,8.43
152.70.106.185,2096,2096,true,NRT,Asia Pacific,Tokyo,102,8.42
150.230.208.83,2053,2053,true,NRT,Asia Pacific,Tokyo,85,8.42
168.138.206.109,2052,2052,false,NRT,Asia Pacific,Tokyo,105,8.42
138.3.217.39,8443,8443,true,NRT,Asia Pacific,Tokyo,103,8.41
158.179.180.233,2087,2087,true,NRT,Asia Pacific,Tokyo,109,8.41
168.138.212.175,2053,2053,true,NRT,Asia Pacific,Tokyo,133,8.40
138.3.217.39,2087,2087,true,NRT,Asia Pacific,Tokyo,125,8.39
140.83.36.42,8080,8080,false,NRT,Asia Pacific,Tokyo,110,8.39
84.235.173.12,443,443,true,FRA,Europe,Frankfurt,159,8.37
150.230.221.114,2083,2083,true,NRT,Asia Pacific,Tokyo,105,8.37
168.138.206.109,2087,2087,true,NRT,Asia Pacific,Tokyo,140,8.36
141.147.175.230,2086,2086,false,NRT,Asia Pacific,Tokyo,98,8.36
168.138.198.53,8880,8880,false,NRT,Asia Pacific,Tokyo,98,8.35
138.3.220.4,8443,8443,true,NRT,Asia Pacific,Tokyo,75,8.34
150.230.199.118,8080,8080,false,NRT,Asia Pacific,Tokyo,101,8.34
168.138.194.121,8080,8080,false,NRT,Asia Pacific,Tokyo,75,8.34
168.138.207.64,2096,2096,true,NRT,Asia Pacific,Tokyo,119,8.33
168.138.212.87,443,443,true,NRT,Asia Pacific,Tokyo,158,8.33
152.70.111.251,2052,2052,false,NRT,Asia Pacific,Tokyo,111,8.33
150.230.222.185,2095,2095,false,NRT,Asia Pacific,Tokyo,104,8.32
150.230.208.83,80,80,false,NRT,Asia Pacific,Tokyo,109,8.32
150.230.202.232,8080,8080,false,NRT,Asia Pacific,Tokyo,109,8.31
168.138.211.188,2082,2082,false,HKG,Asia Pacific,Hong Kong,157,8.29
168.138.202.145,2086,2086,false,NRT,Asia Pacific,Tokyo,104,8.29
138.3.214.43,2083,2083,true,NRT,Asia Pacific,Tokyo,115,8.28
152.70.99.187,2052,2052,false,NRT,Asia Pacific,Tokyo,101,8.27
141.147.166.189,8443,8443,true,NRT,Asia Pacific,Tokyo,139,8.25
168.138.212.184,2053,2053,true,NRT,Asia Pacific,Tokyo,102,8.25
130.162.223.170,443,443,true,FRA,Europe,Frankfurt,175,8.25
141.147.175.230,2082,2082,false,NRT,Asia Pacific,Tokyo,108,8.24
151.145.68.166,2052,2052,false,NRT,Asia Pacific,Tokyo,105,8.24
150.230.200.210,2053,2053,true,NRT,Asia Pacific,Tokyo,102,8.24
168.138.206.109,2095,2095,false,NRT,Asia Pacific,Tokyo,98,8.24
158.179.189.235,8080,8080,false,NRT,Asia Pacific,Tokyo,99,8.23
158.179.190.253,2083,2083,true,NRT,Asia Pacific,Tokyo,102,8.23
168.138.198.202,2096,2096,true,NRT,Asia Pacific,Tokyo,101,8.20
141.147.178.202,8443,8443,true,NRT,Asia Pacific,Tokyo,94,8.20
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,97,8.19
141.148.236.169,443,443,true,FRA,Europe,Frankfurt,195,8.19
168.138.202.145,2082,2082,false,NRT,Asia Pacific,Tokyo,81,8.18
150.230.214.218,2052,2052,false,NRT,Asia Pacific,Tokyo,101,8.18
168.138.200.155,2086,2086,false,NRT,Asia Pacific,Tokyo,100,8.17
141.147.178.202,8880,8880,false,NRT,Asia Pacific,Tokyo,95,8.17
168.138.196.237,8080,8080,false,NRT,Asia Pacific,Tokyo,77,8.16
141.147.182.70,2087,2087,true,NRT,Asia Pacific,Tokyo,102,8.16
150.230.219.168,80,80,false,NRT,Asia Pacific,Tokyo,102,8.16
141.144.207.46,443,443,true,FRA,Europe,Frankfurt,179,8.15
140.238.32.184,2096,2096,true,NRT,Asia Pacific,Tokyo,102,8.15
143.47.234.45,443,443,true,FRA,Europe,Frankfurt,213,8.15
138.3.211.101,2053,2053,true,NRT,Asia Pacific,Tokyo,110,8.14
141.147.169.131,2096,2096,true,NRT,Asia Pacific,Tokyo,119,8.14
158.101.203.185,443,443,true,FRA,Europe,Frankfurt,216,8.13
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,103,8.12
130.61.70.101,443,443,true,FRA,Europe,Frankfurt,182,8.12
168.138.206.109,2096,2096,true,NRT,Asia Pacific,Tokyo,110,8.12
141.147.191.132,2053,2053,true,NRT,Asia Pacific,Tokyo,104,8.11
168.138.217.146,2096,2096,true,NRT,Asia Pacific,Tokyo,102,8.10
150.230.212.213,2095,2095,false,NRT,Asia Pacific,Tokyo,101,8.09
138.3.211.101,2087,2087,true,NRT,Asia Pacific,Tokyo,110,8.08
168.138.207.64,2096,2096,true,NRT,Asia Pacific,Tokyo,78,8.07
168.138.202.145,80,80,false,NRT,Asia Pacific,Tokyo,98,8.07
151.145.65.8,2082,2082,false,NRT,Asia Pacific,Tokyo,106,8.05
168.138.205.38,8443,8443,true,NRT,Asia Pacific,Tokyo,107,8.04
141.147.179.64,8880,8880,false,NRT,Asia Pacific,Tokyo,101,8.04
168.138.200.155,2083,2083,true,NRT,Asia Pacific,Tokyo,101,8.03
193.123.74.12,2087,443,true,MXP,Europe,Milan,142,8.02
168.138.211.217,2086,2086,false,NRT,Asia Pacific,Tokyo,106,8.01
158.179.178.142,2096,2096,true,NRT,Asia Pacific,Tokyo,101,8.01
152.70.106.185,8443,8443,true,NRT,Asia Pacific,Tokyo,97,8.01
168.138.198.53,2096,2096,true,NRT,Asia Pacific,Tokyo,130,8.00
140.238.44.118,2053,2053,true,NRT,Asia Pacific,Tokyo,103,8.00
138.3.223.70,2096,2096,true,NRT,Asia Pacific,Tokyo,105,8.00
150.230.212.9,2083,2083,true,NRT,Asia Pacific,Tokyo,121,8.00
141.147.181.148,8443,8443,true,NRT,Asia Pacific,Tokyo,100,8.00
168.138.196.237,8443,8443,true,NRT,Asia Pacific,Tokyo,137,7.99
140.238.41.253,2096,2096,true,NRT,Asia Pacific,Tokyo,102,7.98
141.147.191.211,2053,2053,true,NRT,Asia Pacific,Tokyo,111,7.98
168.138.206.68,2086,2086,false,NRT,Asia Pacific,Tokyo,103,7.97
138.2.165.4,443,443,true,FRA,Europe,Frankfurt,175,7.96
158.179.180.233,2095,2095,false,NRT,Asia Pacific,Tokyo,99,7.96
140.238.50.99,2053,2053,true,NRT,Asia Pacific,Tokyo,108,7.96
168.138.207.64,2086,2086,false,NRT,Asia Pacific,Tokyo,99,7.94
141.147.167.44,8080,8080,false,NRT,Asia Pacific,Tokyo,101,7.93
168.138.195.31,8443,8443,true,NRT,Asia Pacific,Tokyo,113,7.93
193.123.81.105,443,443,true,CDG,Europe,Paris,147,7.92
141.147.174.7,80,80,false,NRT,Asia Pacific,Tokyo,101,7.92
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,106,7.90
152.70.99.187,8880,8880,false,NRT,Asia Pacific,Tokyo,105,7.90
141.147.169.195,2052,2052,false,NRT,Asia Pacific,Tokyo,84,7.88
168.138.198.202,2087,2087,true,NRT,Asia Pacific,Tokyo,127,7.87
138.3.222.204,8443,8443,true,NRT,Asia Pacific,Tokyo,78,7.86
140.238.52.81,2053,2053,true,NRT,Asia Pacific,Tokyo,100,7.85
168.138.198.53,2096,2096,true,NRT,Asia Pacific,Tokyo,105,7.83
168.138.212.175,2087,2087,true,NRT,Asia Pacific,Tokyo,117,7.82
141.147.182.70,8080,8080,false,NRT,Asia Pacific,Tokyo,97,7.82
168.138.206.68,2096,2096,true,NRT,Asia Pacific,Tokyo,101,7.82
158.179.190.253,2087,2087,true,NRT,Asia Pacific,Tokyo,107,7.82
140.238.39.87,2087,2087,true,NRT,Asia Pacific,Tokyo,99,7.81
152.70.106.21,2087,2087,true,NRT,Asia Pacific,Tokyo,111,7.81
141.147.178.135,2082,2082,false,HKG,Asia Pacific,Hong Kong,129,7.80
158.179.186.251,8880,8880,false,NRT,Asia Pacific,Tokyo,101,7.79
168.138.208.164,8443,8443,true,NRT,Asia Pacific,Tokyo,101,7.79
150.230.221.219,8443,8443,true,NRT,Asia Pacific,Tokyo,91,7.78
141.147.179.64,2095,2095,false,NRT,Asia Pacific,Tokyo,77,7.76
141.147.182.70,2083,2083,true,NRT,Asia Pacific,Tokyo,78,7.76
168.138.202.145,2095,2095,false,NRT,Asia Pacific,Tokyo,100,7.74
168.138.207.64,8880,8880,false,NRT,Asia Pacific,Tokyo,100,7.72
